"","years","can.mean","can.sd","X2.5.","X25.","X50.","X75.","X97.5."
"1",1981,195427.236479522,23864.2933108288,153677.550511388,179039.18609841,193720.860581648,210452.549804651,246449.349074352
"2",1982,163290.71007929,18480.9891285796,130796.630651348,150392.983743709,161824.615728824,174783.078731765,203070.980445367
"3",1983,181761.673235185,19083.5522165076,147928.547714426,168531.026029476,180453.768792694,193958.555674979,223194.034970713
"4",1984,136366.034857348,15709.1132347586,108388.050432502,125425.171995567,135310.914983115,146167.348786909,169812.692766103
"5",1985,160208.245034483,17321.1193704467,129805.020899276,148009.783537038,159026.488397736,171022.563620838,196802.074932109
"6",1986,175455.846588308,17822.9580185672,143671.70849602,162971.365051728,174218.306558132,186915.768819029,213330.428102679
"7",1987,174375.759499642,18988.7969375888,140732.870977384,161126.77715607,173056.597724853,186440.563628781,214313.048035192
"8",1988,156236.569705385,14806.4343302961,128763.372755513,146010.540325203,155771.194634655,165917.377856281,186584.955554456
"9",1989,163403.36197264,15852.6234299052,134569.384642564,152348.975190409,162696.909787632,173482.24596346,196194.980257147
"10",1990,176296.189686055,16552.4316717517,145781.641872951,164883.876909529,175453.119192267,186746.490919363,211187.595128258
"11",1991,138844.595467305,13474.688514436,113864.270931681,129542.839012253,138249.496344998,147296.991635524,167292.337254085
"12",1992,175212.721203506,19405.1997289507,140249.608436254,161696.615317383,174307.79802111,187519.643726889,215509.509156933
"13",1993,153159.47518641,15548.5023674343,125041.424913765,142308.720142958,152527.47446018,163067.98086936,185571.260894066
"14",1994,193731.748111862,19325.366866697,159277.500747585,180301.116599977,192445.586350539,205951.641223513,234587.018276791
"15",1995,213280.986265118,22041.0103312677,173992.660596894,198106.725517372,211921.509493447,227087.363601119,259809.520818987
"16",1996,196809.882041375,19633.5194351394,162242.409568977,182983.371314531,195248.38006098,209244.9602596,239286.185412652
"17",1997,193278.480719581,17749.6857413228,160755.277182747,180808.185330461,192431.860512812,204734.337603402,230624.044304583
"18",1998,94290.5731537994,9534.94566198039,76624.5904331888,87781.1768074522,93803.8397320251,100434.593490369,114164.088339141
"19",1999,122993.202107001,12331.7886254613,100510.525484652,114486.022440587,122472.128332505,130805.97500904,148888.191880493
"20",2000,50031.1091492038,5292.33925768141,40504.2074126113,46346.3110142063,49713.4793152531,53450.4647885688,61113.1463108951
"21",2001,97037.3679272015,11444.5132732451,77270.8465868174,88953.1012097319,96120.0681686469,104162.786600788,121630.769285351
"22",2002,96288.6987307814,6952.62633503012,83449.7632954178,91448.9909104611,96089.8637758551,100802.830226813,110784.868948944
"23",2003,164313.326966881,10534.7273679619,144772.383967305,157081.556747853,163943.801607581,171277.951452474,185920.266746816
"24",2004,120233.146039584,9954.09373333914,102024.106099431,113270.481217929,119830.809209187,126647.396273787,140835.264618791
"25",2005,130062.76394908,7124.84303958302,117417.714042906,125002.5137954,129659.651162189,134510.774448123,145159.339476854
"26",2006,126185.753375712,7495.48043619252,112856.640513987,120888.226052195,125604.415319907,130936.103381588,142189.272916275
"27",2007,92233.9259128759,7121.68048719462,79896.358984006,87220.5025123969,91753.4448481235,96675.8904807294,107453.670852221
"28",2008,69468.9982349678,4524.95172669497,61466.3520587786,66270.2889554175,69167.7531020116,72350.7332621261,79077.7169195509
"29",2009,86572.9977879874,2575.72388499301,81995.5478825472,84726.5906008902,86384.8744881749,88191.3670135148,92085.8855563318
"30",2010,62082.4680799395,4171.48363436964,54576.5884315791,59155.0686515909,61824.901078713,64780.6661917566,70903.7962617762
"31",2011,70530.2554580808,2708.62845349322,65731.6478303233,68678.0880222719,70361.8746488358,72215.3472793908,76369.3411449346
"32",2012,51054.7645977009,2611.40433266492,46457.9620486133,49212.6074758921,50876.8476112423,52707.1907133244,56688.0110707005
"33",2013,38582.2105865323,1461.86460953566,36098.1850587451,37560.3903860096,38435.3959044426,39463.6337033229,41835.2665497315
"34",2014,65112.0667084948,514.419960527663,64119.7747040681,64763.1244515746,65102.0360425403,65449.7019268431,66131.912399069
"35",2015,88859.2466797436,886.840255722605,87222.6588606378,88241.902797047,88833.1439075031,89427.1134625459,90710.6108674298
"36",2016,84154.2282908473,1964.46053782001,80722.6585167244,82769.0781368848,84037.6221233099,85372.8659878642,88352.7305885433
"37",2017,101042.878349784,4944.5826341956,92571.9950382006,97523.0681756703,100615.756566548,104071.250153129,111889.849769044
"38",2018,77229.5818622653,3092.01349842961,71904.2449351384,75020.9267168414,77008.4386837572,79172.9085594517,83932.7225257303
"39",2019,80571.009684944,5812.91397115589,70049.8496361303,76458.4754966748,80249.6799745774,84323.8674518756,92726.1248259813
